baseDate,baseTime,fcstDate,fcstTime,nx,ny,습도,강수량,기온,풍속
20230526,1730,20230526,2000,73,134,55,강수없음,22,2
20230526,1730,20230526,2000,73,135,60,강수없음,22,2
20230526,1730,20230526,2000,74,131,60,강수없음,21,2
20230526,1730,20230526,2000,72,132,65,강수없음,20,2
20230526,1730,20230526,2000,70,130,65,강수없음,20,1
20230526,1730,20230526,2000,72,134,60,강수없음,23,1
20230526,1730,20230526,2000,71,137,75,강수없음,19,1
20230526,1730,20230526,2000,75,136,70,강수없음,19,1
20230526,1730,20230526,2000,73,133,55,강수없음,22,2
20230526,1730,20230526,2000,71,132,60,강수없음,20,1
20230526,1730,20230526,2000,72,133,55,강수없음,22,1
20230526,1730,20230526,2000,76,122,55,강수없음,22,1
20230526,1730,20230526,2000,74,121,60,강수없음,21,2
20230526,1730,20230526,2000,78,124,60,강수없음,21,1
20230526,1730,20230526,2000,76,124,55,강수없음,22,2
20230526,1730,20230526,2000,75,122,55,강수없음,22,2
20230526,1730,20230526,2000,73,119,65,강수없음,21,1
20230526,1730,20230526,2000,76,118,70,강수없음,20,1
20230526,1730,20230526,2000,76,121,55,강수없음,23,1
20230526,1730,20230526,2000,78,121,65,강수없음,21,1
20230526,1730,20230526,2000,79,120,70,강수없음,19,1
20230526,1730,20230526,2000,77,122,50,강수없음,23,1
20230526,1730,20230526,2000,76,123,55,강수없음,23,2
20230526,1730,20230526,2000,77,123,55,강수없음,23,1
20230526,1730,20230526,2000,92,131,55,강수없음,22,1
20230526,1730,20230526,2000,91,134,70,강수없음,18,1
20230526,1730,20230526,2000,92,130,50,강수없음,22,1
20230526,1730,20230526,2000,94,131,65,강수없음,22,1
20230526,1730,20230526,2000,95,129,70,강수없음,19,1
20230526,1730,20230526,2000,92,133,60,강수없음,21,1
20230526,1730,20230526,2000,92,134,75,강수없음,19,1
20230526,1730,20230526,2000,93,132,60,강수없음,23,1
20230526,1730,20230526,2000,92,132,55,강수없음,22,1
20230526,1730,20230526,2000,93,131,55,강수없음,22,1
20230526,1730,20230526,2000,97,127,70,강수없음,18,1
20230526,1730,20230526,2000,97,126,70,강수없음,18,1
20230526,1730,20230526,2000,96,127,70,강수없음,19,1
20230526,1730,20230526,2000,96,126,65,강수없음,19,1
20230526,1730,20230526,2000,95,119,55,강수없음,18,1
20230526,1730,20230526,2000,94,118,60,강수없음,19,1
20230526,1730,20230526,2000,95,117,65,강수없음,18,1
20230526,1730,20230526,2000,96,118,60,강수없음,19,1
20230526,1730,20230526,2000,87,141,60,강수없음,20,1
20230526,1730,20230526,2000,87,140,60,강수없음,20,1
20230526,1730,20230526,2000,98,125,65,강수없음,20,3
20230526,1730,20230526,2000,96,120,55,강수없음,19,1
20230526,1730,20230526,2000,101,119,80,강수없음,19,1
20230526,1730,20230526,2000,99,124,65,강수없음,19,2
20230526,1730,20230526,2000,94,123,60,강수없음,18,0
20230526,1730,20230526,2000,98,123,65,강수없음,19,1
20230526,1730,20230526,2000,97,124,65,강수없음,21,1
20230526,1730,20230526,2000,98,119,60,강수없음,18,1
20230526,1730,20230526,2000,96,123,60,강수없음,21,1
20230526,1730,20230526,2000,97,125,65,강수없음,20,1
20230526,1730,20230526,2000,75,130,55,강수없음,22,2
20230526,1730,20230526,2000,77,131,60,강수없음,20,2
20230526,1730,20230526,2000,78,134,65,강수없음,19,2
20230526,1730,20230526,2000,79,132,70,강수없음,19,2
20230526,1730,20230526,2000,81,130,75,강수없음,17,2
20230526,1730,20230526,2000,76,129,65,강수없음,20,2
20230526,1730,20230526,2000,73,128,70,강수없음,19,2
20230526,1730,20230526,2000,72,129,75,강수없음,20,2
20230526,1730,20230526,2000,84,132,65,강수없음,17,1
20230526,1730,20230526,2000,77,125,50,강수없음,21,2
20230526,1730,20230526,2000,79,125,65,강수없음,20,1
20230526,1730,20230526,2000,80,124,70,강수없음,18,1
20230526,1730,20230526,2000,81,126,65,강수없음,18,1
20230526,1730,20230526,2000,79,127,65,강수없음,19,2
20230526,1730,20230526,2000,80,127,65,강수없음,19,2
20230526,1730,20230526,2000,77,126,50,강수없음,22,2
20230526,1730,20230526,2000,75,125,60,강수없음,21,2
20230526,1730,20230526,2000,80,123,65,강수없음,18,1
20230526,1730,20230526,2000,86,119,50,강수없음,22,1
20230526,1730,20230526,2000,92,118,60,강수없음,18,2
20230526,1730,20230526,2000,89,118,60,강수없음,19,2
20230526,1730,20230526,2000,88,118,55,강수없음,20,2
20230526,1730,20230526,2000,85,120,55,강수없음,21,1
20230526,1730,20230526,2000,85,119,50,강수없음,22,1
20230526,1730,20230526,2000,83,120,60,강수없음,21,1
20230526,1730,20230526,2000,82,121,60,강수없음,20,1
20230526,1730,20230526,2000,84,123,55,강수없음,20,1
20230526,1730,20230526,2000,86,122,50,강수없음,20,1
20230526,1730,20230526,2000,84,124,55,강수없음,20,1
20230526,1730,20230526,2000,85,126,55,강수없음,17,1
20230526,1730,20230526,2000,84,128,55,강수없음,18,2
20230526,1730,20230526,2000,85,128,60,강수없음,18,1
20230526,1730,20230526,2000,87,129,65,강수없음,19,1
20230526,1730,20230526,2000,89,130,65,강수없음,17,2
20230526,1730,20230526,2000,89,123,55,강수없음,21,1
20230526,1730,20230526,2000,92,120,55,강수없음,19,3
20230526,1730,20230526,2000,89,120,55,강수없음,20,2
20230526,1730,20230526,2000,90,121,55,강수없음,19,1
20230526,1730,20230526,2000,89,125,60,강수없음,20,2
20230526,1730,20230526,2000,92,126,65,강수없음,17,1
20230526,1730,20230526,2000,91,123,60,강수없음,19,1
20230526,1730,20230526,2000,90,125,60,강수없음,20,1
20230526,1730,20230526,2000,65,139,65,강수없음,20,1
20230526,1730,20230526,2000,64,141,70,강수없음,19,1
20230526,1730,20230526,2000,67,142,80,강수없음,15,1
20230526,1730,20230526,2000,67,140,75,강수없음,16,1
20230526,1730,20230526,2000,68,141,85,강수없음,15,1
20230526,1730,20230526,2000,67,143,80,강수없음,15,1
20230526,1730,20230526,2000,69,143,80,강수없음,16,2
20230526,1730,20230526,2000,73,143,65,강수없음,17,2
20230526,1730,20230526,2000,71,143,75,강수없음,16,2
20230526,1730,20230526,2000,75,143,75,강수없음,14,2
20230526,1730,20230526,2000,72,139,80,강수없음,19,2
20230526,1730,20230526,2000,74,137,70,강수없음,20,1
20230526,1730,20230526,2000,71,138,85,강수없음,19,2
20230526,1730,20230526,2000,71,140,80,강수없음,16,2
20230526,1730,20230526,2000,69,138,90,강수없음,17,1
20230526,1730,20230526,2000,77,139,60,강수없음,20,1
20230526,1730,20230526,2000,78,139,60,강수없음,21,1
20230526,1730,20230526,2000,78,141,60,강수없음,19,2
20230526,1730,20230526,2000,76,141,70,강수없음,19,1
20230526,1730,20230526,2000,79,143,65,강수없음,17,3
20230526,1730,20230526,2000,80,138,55,강수없음,20,1
20230526,1730,20230526,2000,79,136,60,강수없음,20,1
20230526,1730,20230526,2000,81,139,55,강수없음,20,2
20230526,1730,20230526,2000,83,136,60,강수없음,19,2
20230526,1730,20230526,2000,81,141,70,강수없음,18,2
20230526,1730,20230526,2000,82,134,60,강수없음,19,1
20230526,1730,20230526,2000,85,145,60,강수없음,21,3
20230526,1730,20230526,2000,85,146,65,강수없음,20,2
20230526,1730,20230526,2000,84,147,80,강수없음,17,0
20230526,1730,20230526,2000,86,144,60,강수없음,21,2
20230526,1730,20230526,2000,87,142,60,강수없음,20,2
20230526,1730,20230526,2000,82,146,70,강수없음,15,2
20230526,1730,20230526,2000,88,138,55,강수없음,20,1
20230526,1730,20230526,2000,87,138,55,강수없음,21,2
20230526,1730,20230526,2000,89,137,70,강수없음,19,2
20230526,1730,20230526,2000,90,136,80,강수없음,18,2
