baseDate,baseTime,fcstDate,fcstTime,nx,ny,습도,강수량,기온,풍속
20230526,1630,20230526,1800,71,138,55,강수없음,23,1
20230526,1630,20230526,1800,71,140,55,강수없음,22,1
20230526,1630,20230526,1800,69,138,65,강수없음,21,1
20230526,1630,20230526,1800,77,139,40,강수없음,24,3
20230526,1630,20230526,1800,78,139,45,강수없음,24,3
20230526,1630,20230526,1800,78,141,50,강수없음,23,2
20230526,1630,20230526,1800,76,141,50,강수없음,23,1
20230526,1630,20230526,1800,79,143,55,강수없음,20,3
20230526,1630,20230526,1800,80,138,40,강수없음,24,2
20230526,1630,20230526,1800,79,136,50,강수없음,24,1
20230526,1630,20230526,1800,81,139,40,강수없음,24,2
20230526,1630,20230526,1800,83,136,45,강수없음,22,2
20230526,1630,20230526,1800,81,141,50,강수없음,22,2
20230526,1630,20230526,1800,82,134,45,강수없음,23,2
20230526,1630,20230526,1800,85,145,50,강수없음,23,3
20230526,1630,20230526,1800,85,146,60,강수없음,21,3
20230526,1630,20230526,1800,84,147,65,강수없음,20,1
20230526,1630,20230526,1800,86,144,55,강수없음,21,2
20230526,1630,20230526,1800,87,142,60,강수없음,20,2
20230526,1630,20230526,1800,82,146,65,강수없음,16,0
20230526,1630,20230526,1800,88,138,50,강수없음,21,3
20230526,1630,20230526,1800,87,138,40,강수없음,24,2
20230526,1630,20230526,1800,89,137,75,강수없음,20,3
20230526,1630,20230526,1800,90,136,75,강수없음,19,3
